iter	Logloss
0	0.6761068017
5	0.6099619485
10	0.5642105582
15	0.531875621
20	0.5075970306
25	0.4889054016
30	0.4735508227
35	0.4617614572
40	0.4520581216
45	0.4433503138
50	0.4369577737
55	0.4302406477
60	0.424970891
65	0.4200789303
70	0.4158432424
75	0.4116530563
80	0.4079875428
85	0.4042615314
90	0.4013086308
95	0.398128875
100	0.3953395287
105	0.3927706373
110	0.3900974048
115	0.3877920409
120	0.3857746374
125	0.3836603906
130	0.38171458
135	0.3795212656
140	0.3776309308
145	0.3758365283
150	0.3738782911
155	0.3722099763
160	0.3704932165
165	0.3688428408
170	0.3671515882
175	0.3653924098
180	0.3638061525
185	0.3621726414
190	0.3607144339
195	0.3592397121
200	0.3577991867
205	0.3563041666
210	0.3549749432
215	0.3536607157
220	0.3523425875
225	0.3510178722
230	0.3497544957
235	0.3483979898
240	0.3471996426
245	0.3455700324
250	0.3441435686
255	0.3427104712
260	0.3413842143
265	0.340079517
270	0.338736559
275	0.337377764
280	0.3362748585
285	0.3350609547
290	0.3339183402
295	0.3326278447
300	0.3315267144
305	0.3300352448
310	0.328893004
315	0.3275824672
320	0.3263055428
325	0.3251374912
330	0.3241085145
335	0.323030976
340	0.3220098243
345	0.3208863168
350	0.3197839252
355	0.3185818172
360	0.3174501811
365	0.3162590983
370	0.3152312194
375	0.3141780202
