iter	Passed	Remaining
0	279	418772
1	366	274350
2	447	223129
3	533	199656
4	622	186032
5	701	174589
6	785	167467
7	859	160210
8	942	156150
9	1032	153902
10	1108	150069
11	1188	147398
12	1263	144564
13	1344	142735
14	1433	141919
15	1587	147203
16	1666	145412
17	1743	143566
18	1824	142250
19	1912	141522
20	1986	139936
21	2067	138924
22	2147	137928
23	2233	137330
24	2314	136547
25	2399	136032
26	2486	135647
27	2567	134995
28	2647	134272
29	2740	134290
30	2818	133559
31	2900	133071
32	2974	132228
33	3061	132024
34	3142	131521
35	3230	131380
36	3307	130794
37	3396	130688
38	3488	130683
39	3570	130324
40	3653	130012
41	3742	129908
42	3812	129186
43	3902	129145
44	3984	128835
45	4070	128659
46	4159	128600
47	4244	128381
48	4336	128417
49	4420	128186
50	4513	128232
51	4602	128174
52	4703	128424
53	4801	128561
54	4891	128506
55	4990	128680
56	5096	129031
57	5193	129127
58	5280	128959
59	5369	128862
60	5457	128741
61	5543	128573
62	5630	128431
63	5710	128139
64	5788	127799
65	5862	127365
66	5937	126989
67	6022	126822
68	6099	126505
69	6179	126244
70	6260	126005
71	6336	125672
72	6415	125401
73	6506	125380
74	6587	125170
75	6675	125075
76	6760	124944
77	6837	124652
78	6918	124450
79	6991	124093
80	7071	123883
81	7161	123838
82	7244	123674
83	7337	123685
84	7421	123548
85	7506	123426
86	7585	123192
87	7659	122898
88	7731	122572
89	7808	122336
90	7885	122088
91	7960	121829
92	8033	121544
93	8103	121201
94	8178	120949
95	8247	120619
96	8323	120389
97	8399	120167
98	8479	119995
99	8557	119799
100	8634	119605
101	8706	119333
102	8778	119060
103	8861	118954
104	8937	118735
105	9017	118587
106	9104	118522
107	9183	118358
108	9255	118118
109	9328	117877
110	9399	117617
111	9471	117373
112	9538	117074
113	9615	116905
114	9689	116690
115	9855	117591
116	9932	117411
117	10006	117191
118	10078	116956
119	10149	116721
120	10222	116507
121	10293	116268
122	10372	116125
123	10454	116016
124	10527	115804
125	10598	115570
126	10674	115400
127	10776	115514
128	10849	115309
129	10922	115108
130	11004	115002
131	11084	114879
132	11166	114776
133	11247	114654
134	11334	114601
135	11402	114360
136	11475	114172
137	11551	114005
138	11628	113855
139	11698	113646
140	11773	113472
141	11843	113264
142	11919	113106
143	11990	112910
144	12080	112887
145	12162	112794
146	12236	112623
147	12305	112409
148	12386	112307
149	12462	112162
150	12542	112053
151	12624	111962
152	12696	111777
153	12780	111706
154	12851	111521
155	12926	111367
156	12996	111177
157	13069	111010
158	13142	110843
159	13215	110682
160	13304	110653
161	13381	110524
162	13458	110395
163	13531	110230
164	13612	110138
165	13696	110064
166	13794	110106
167	13882	110067
168	13965	109989
169	14047	109898
170	14129	109813
171	14208	109702
172	14279	109534
173	14360	109437
174	14452	109427
175	14534	109339
